dataset,pipeline,pipeline_label,pipeline_plot_label,pipeline_short,hit@1,mrr@10,recall@10,ndcg@10,avg_latency_ms,query_count,hit@1_ci_low,hit@1_ci_high,hit@1_ci95,ndcg@10_ci_low,ndcg@10_ci_high,ndcg@10_ci95
DuRetrieval,mainstream_dense_rerank,主流 RAG 方案 A（Dense + Rerank）,Mainstream A,dense_rerank,0.23333333333333334,0.2375,0.10337806170994047,0.1310883509564291,188.54579193983227,1200,0.21166667342185974,0.25833332538604736,"[0.2117, 0.2583]",0.1173463761806488,0.14682114124298096,"[0.1173, 0.1468]"
DuRetrieval,mainstream_hybrid_rrf_rerank,主流 RAG 方案 B（Hybrid + RRF + Rerank）,Mainstream B,hybrid_rrf_rerank,0.8408333333333333,0.8537301587301587,0.5977300747030716,0.6615698933684869,289.4352970287825,1200,0.8199999928474426,0.8616666793823242,"[0.8200, 0.8617]",0.6416672468185425,0.6804777383804321,"[0.6417, 0.6805]"
DuRetrieval,our_adaptive_hybrid_rerank,我们的方案（自适应混合 + 精排）,Ours,ours_adaptive_hybrid_rerank,0.8558333333333333,0.8709722222222221,0.6241764025413482,0.6857699128601863,373.1246824609116,1200,0.8366666436195374,0.8758333325386047,"[0.8367, 0.8758]",0.6665768027305603,0.7041173577308655,"[0.6666, 0.7041]"
T2Retrieval,mainstream_dense_rerank,主流 RAG 方案 A（Dense + Rerank）,Mainstream A,dense_rerank,0.26666666666666666,0.26902777777777775,0.11909449377112419,0.14990710681370867,247.81469254133603,1200,0.24166665971279144,0.29249998927116394,"[0.2417, 0.2925]",0.1349409967660904,0.16561220586299896,"[0.1349, 0.1656]"
T2Retrieval,mainstream_hybrid_rrf_rerank,主流 RAG 方案 B（Hybrid + RRF + Rerank）,Mainstream B,hybrid_rrf_rerank,0.845,0.8631388888888889,0.6344625405084166,0.6904441690319606,375.00474772881716,1200,0.8224999904632568,0.8650000095367432,"[0.8225, 0.8650]",0.6716835498809814,0.7079640030860901,"[0.6717, 0.7080]"
T2Retrieval,our_adaptive_hybrid_rerank,我们的方案（自适应混合 + 精排）,Ours,ours_adaptive_hybrid_rerank,0.8475,0.8666319444444444,0.6441385057468817,0.698438594472772,451.7195388302207,1200,0.8266457915306091,0.8675000071525574,"[0.8266, 0.8675]",0.6804931163787842,0.7155110836029053,"[0.6805, 0.7155]"
